Country,Family,Subfamily,Tribe,Species
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_alfkenella
Germany,Andrenidae,Andreninae,Andrenini,Andrena_bicolor
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_bicolor
Ireland,Andrenidae,Andreninae,Andrenini,Andrena_bicolor
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_bucephala
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_canatonia
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_carantonica
Germany,Andrenidae,Andreninae,Andrenini,Andrena_chrysosceles
Germany,Andrenidae,Andreninae,Andrenini,Andrena_cineraria
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_cineraria
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_dorsata
Spain,Andrenidae,Andreninae,Andrenini,Andrena_ferrugineicrus
Germany,Andrenidae,Andreninae,Andrenini,Andrena_flavipes
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_flavipes
Spain,Andrenidae,Andreninae,Andrenini,Andrena_flavipes
Spain,Andrenidae,Andreninae,Andrenini,Andrena_florea
Germany,Andrenidae,Andreninae,Andrenini,Andrena_fulva
Germany,Andrenidae,Andreninae,Andrenini,Andrena_fulvata
Germany,Andrenidae,Andreninae,Andrenini,Andrena_gravida
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_gravida
Germany,Andrenidae,Andreninae,Andrenini,Andrena_haemorrhoa
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_haemorrhoa
Germany,Andrenidae,Andreninae,Andrenini,Andrena_helvola
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_helvola
Spain,Andrenidae,Andreninae,Andrenini,Andrena_hispania
Germany,Andrenidae,Andreninae,Andrenini,Andrena_lagopus
Germany,Andrenidae,Andreninae,Andrenini,Andrena_minutula
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_minutula
Spain,Andrenidae,Andreninae,Andrenini,Andrena_nigroaenaea
Germany,Andrenidae,Andreninae,Andrenini,Andrena_nigroaenea
Germany,Andrenidae,Andreninae,Andrenini,Andrena_nitida
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_nitida
Spain,Andrenidae,Andreninae,Andrenini,Andrena_ovatula
Spain,Andrenidae,Andreninae,Andrenini,Andrena_rhyssonota
Ireland,Andrenidae,Andreninae,Andrenini,Andrena_subopaca
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_subopara
Spain,Andrenidae,Andreninae,Andrenini,Andrena_thoracica
Switzerland,Andrenidae,Andreninae,Andrenini,Andrena_viridescens
Germany,Andrenidae,Andreninae,Andrenini,Andrena_wilkella
Spain,Andrenidae,Panurginae,Panurgini,Flavipanurgus_venustus
Spain,Andrenidae,Panurginae,Panurgini,Panurgus_banksianus
Spain,Andrenidae,Panurginae,Panurgini,Panurgus_calcaratus
Spain,Andrenidae,Panurginae,Panurgini,Panurgus_cephalotes
Spain,Andrenidae,Panurginae,Panurgini,Panurgus_dargius
