Gene	Accession No.	Species
abdA	AY703685	Apis mellifera
abdA	XM3402141	Bombus terrestris
abdA	EF013109	Chalybion californicum
abdA	DQ352874	Philanthus sp. CSM-2006
AK	EU163007	Aglae caerulea
AK	FJ042187	Aparatrigona impunctata
AK	EU163042	Apis andreniformis
AK	EU163040	Apis cerana
AK	AY267178	Apis dorsata
AK	EU184831	Apis florea
AK	EU163026	Apis koschevnikovi
AK	NM1011603	Apis mellifera
AK	DQ813029	Apotrigona infuscata
AK	DQ813032	Axestotrigona ferruginea
AK	DQ788391	Bombus affinis
AK	DQ788392	Bombus alagesianus
AK	EF032398	Bombus alboanalis
AK	DQ788393	Bombus alpinus
AK	DQ788394	Bombus apollineus
AK	DQ788395	Bombus appositus
AK	AF492897	Bombus ardens
AK	DQ788396	Bombus argillaceus
AK	DQ788397	Bombus armeniacus
AK	AF492857	Bombus ashtoni
AK	EF032406	Bombus asiaticus
AK	DQ788398	Bombus atratus
AK	DQ788399	Bombus atripes
AK	EF032402	Bombus avanus
AK	DQ788400	Bombus avinoviellus
AK	DQ788401	Bombus baeri
AK	DQ788402	Bombus balteatus
AK	DQ788403	Bombus barbutellus
AK	AF492896	Bombus beaticola
AK	DQ788404	Bombus bellicosus
AK	AF492904	Bombus bicoloratus
AK	AF492876	Bombus bifarius
AK	DQ788405	Bombus bimaculatus
AK	DQ788406	Bombus biroi
AK	AF492858	Bombus bohemicus
AK	AF492909	Bombus borealis
AK	DQ788407	Bombus brachycephalus
AK	DQ788408	Bombus breviceps
AK	DQ788409	Bombus brodmannicus
AK	DQ788410	Bombus californicus
AK	AF492901	Bombus caliginosus
AK	AF492860	Bombus campestris
AK	DQ788411	Bombus centralis
AK	DQ788412	Bombus chinensis
AK	AF492881	Bombus cingulatus
AK	AY267169	Bombus citrinus
AK	DQ788413	Bombus coccineus
AK	DQ788414	Bombus confusus
AK	AY267166	Bombus consobrinus
AK	DQ788415	Bombus convexus
AK	EF032413	Bombus cornutus
AK	AF492906	Bombus crotchii
AK	DQ788416	Bombus cryptarum
AK	AF492864	Bombus dahlbomii
AK	AF492891	Bombus defector
AK	AY267170	Bombus deuteronymus
AK	DQ788417	Bombus difficillimus
AK	DQ788418	Bombus digressus
AK	DQ788419	Bombus diligens
AK	DQ788420	Bombus distinguendus
AK	AF492894	Bombus diversus
AK	DQ788421	Bombus ecuadorius
AK	DQ788422	Bombus ephippiatus
AK	DQ788423	Bombus erzurumensis
AK	DQ788424	Bombus excellens
AK	DQ788425	Bombus exil
AK	DQ788426	Bombus eximius
AK	AF492859	Bombus fernaldae
AK	AF492863	Bombus fervidus
AK	DQ788427	Bombus festivus
AK	DQ788428	Bombus filchnerae
AK	AF492883	Bombus flavescens
AK	DQ788429	Bombus flavidus
AK	AF492882	Bombus flavifrons
AK	AF492872	Bombus formosellus
AK	DQ788430	Bombus fragrans
AK	EF032403	Bombus franklini
AK	AF492907	Bombus fraternus
AK	DQ788431	Bombus frigidus
AK	DQ788432	Bombus friseanus
AK	DQ788433	Bombus funebris
AK	EF032415	Bombus funerarius
AK	DQ788434	Bombus gerstaeckeri
AK	EF032408	Bombus grahami
AK	AF492905	Bombus griseocollis
AK	AF492916	Bombus haemorrhoidalis
AK	DQ788435	Bombus handlirschi
AK	DQ788436	Bombus handlirschianus
AK	DQ788437	Bombus hedini
AK	AF492895	Bombus honshuensis
AK	AF492853	Bombus hortorum
AK	DQ788438	Bombus hortulanus
AK	DQ788439	Bombus humilis
AK	AF492911	Bombus huntii
AK	DQ788440	Bombus hyperboreus
AK	EF032401	Bombus hypnorum
AK	AF492889	Bombus hypocrita
AK	AF492898	Bombus ignitus
