ID,Country,Spec.wgt,IT,Ancho_cabeza_mm,BL,Notes,Pollinator_sex,Pollinator_gen_sp,Taxa,Family,Subfamily,Tribe,Genus,Subgenus,Species
BF100,Spain,0.0189,2.34,2.54,10.87,NA,Male,Systropha planidens,Bee,Halictidae,Rophitinae,Rophitini,Systropha,NA,planidens
BF101,Spain,0.0223,2.47,3.61,13.33,NA,Female,Halictus scabiosae,Bee,Halictidae,Halictinae,Halictini,Halictus,NA,scabiosae
BF102,Spain,0.0214,2.22,3.23,12.03,NA,Female,Halictus scabiosae,Bee,Halictidae,Halictinae,Halictini,Halictus,NA,scabiosae
BF103,Spain,0.0063,1.57,2.52,8.28,NA,Female,Sphecodes sp,Bee,Halictidae,Halictinae,Halictini,Sphecodes,NA,sp
BF103,Spain,0.0063,1.57,2.52,8.28,NA,Female,Dasypoda cingulata,Bee,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,cingulata
BF110,Spain,0.0132,2.66,3.23,12.35,NA,Male,Dasypoda cingulata,Bee,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,cingulata
BF120,Spain,0.0268,3.05,3.72,14.83,NA,Male,Dasypoda cingulata,Bee,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,cingulata
BF122,Spain,0.0237,2.52,3.26,13.08,NA,Female,Dasypoda crassicornis,Bee,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,crassicornis
BF127,Spain,0.0101,2.77,3.16,11.02,NA,Female,Dasypoda cingulata,Bee,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,cingulata
BF136,Spain,0.0118,2.39,2.8,9.86,NA,Female,Dasypoda crassicornis,Bee,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,crassicornis
BF15,Spain,0.0082,1.69,2.1,7.03,NA,Female,Lasioglossum imminutus,Bee,Halictidae,Halictinae,Halictini,Lasioglossum,NA,imminutus
BF151,Spain,0.031,3.32,3.73,12.36,NA,Male,Dasypoda cingulata,Bee,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,cingulata
BF156,Spain,0.0081,1.93,2.95,8.85,NA,Female,Colletes acutus,Bee,Colletidae,Colletinae,Colletini,Colletes,NA,acutus
BF160,Spain,0.0075,1.85,2.86,9.23,NA,Male,Colletes nigricans,Bee,Colletidae,Colletinae,Colletini,Colletes,NA,nigricans
BF161,Spain,0.0104,2.23,3.03,9.46,NA,Male,Colletes acutus,Bee,Colletidae,Colletinae,Colletini,Colletes,NA,acutus
BF162,Spain,0.0105,2.23,2.85,7.79,NA,Female,Hoplitis adunca,Bee,Megachilidae,Megachilinae,Osmiini,Hoplitis,NA,adunca
BF171,Spain,0.0221,3.21,3.7,11.81,NA,Female,Colletes acutus,Bee,Colletidae,Colletinae,Colletini,Colletes,NA,acutus
BF180,Spain,0.0058,0.85,1.01,3.92,NA,Male,Ceratina cucurbitina,Bee,Apidae,Xylocopinae,Ceratinini,Ceratina,NA,cucurbitina
BF184,Spain,0.0064,1.12,1.25,5.04,NA,Female,Ceratina cucurbitina,Bee,Apidae,Xylocopinae,Ceratinini,Ceratina,NA,cucurbitina
BF19,Spain,0.0039,1.3,1.95,7.6,NA,Male,Andrena nigroaenaea,Bee,Andrenidae,Andreninae,Andrenini,Andrena,NA,nigroaenaea
BF193,Spain,0.1948,8.02,7.01,21,NA,Female,Xylocopa valga,Bee,Apidae,Xylocopinae,Xylocopinini,Xylocopa,NA,valga
BF195,Spain,0.0956,5.91,5.23,16.05,NA,Male,Xylocopa cantabrita,Bee,Apidae,Xylocopinae,Xylocopinini,Xylocopa,NA,cantabrita
BF197,Spain,0.1002,5.71,5.44,17.03,NA,Female,Xylocopa cantabrita,Bee,Apidae,Xylocopinae,Xylocopinini,Xylocopa,NA,cantabrita
