"","Family","Tribe","Country","Measurer","Subfamily","Genus","Species","Sex","Latitude","Spec.wgt","Wgt.SD","IT","IT.SD","Cane"
"1","Apidae","Anthophorini","Australia","LK","Apinae","Amegilla","Amegilla_aeruginosa","Female",-15.755,0.04445,0.0286378246380552,3.1660608665,0.657609306503489,0.0328157499271546
"2","Apidae","Anthophorini","Australia","LK","Apinae","Amegilla","Amegilla_asserta","Female",-28.956,0.031228,0.000282842712474617,3.3389873646,0.0912000099783894,0.0374203178075621
"3","Apidae","Anthophorini","Australia","LK","Apinae","Amegilla","Amegilla_bombiformis","Female",-29.94,0.0382728,0.011612636530952,4.406751372,0.0452711108472375,0.0742409186252734
"4","Apidae","Anthophorini","Australia","LK","Apinae","Amegilla","Amegilla_chlorocyanea","Female",-34.5848,0.096334,NA,3.29425101668,NA,0.0361945573008518
"5","Apidae","Anthophorini","Australia","LK","Apinae","Amegilla","Amegilla_cingulata","Female",-29.9771428571429,0.030288568,0.00298880787282879,3.84770495342857,0.147748939766666,0.0531094618474955
"6","Apidae","Anthophorini","Australia","LK","Apinae","Amegilla","Amegilla_pulchra","Female",-30,0.0545731428571429,0.0102915330155193,3.445509498,0.174428117623768,0.0404373536408507
"7","Apidae","Anthophorini","Spain","IB","Apinae","Amegilla","Amegilla_quadrifasciata","Female",37.396355,0.041634,NA,3.645,NA,0.046466248110782
"8","Andrenidae","Andrenini","USA","JC","Andreninae","Andrena","Andrena_accepta","Female",32.531318,0.0071,NA,2.8021,NA,0.0242734809106839
"9","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_bicolor","Female",10.0747666666667,0.0085,NA,1.916833359,NA,0.0095055941922205
"10","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_bicolor","Female",47.3769,0.0457,NA,1.758,NA,0.00767761486952141
"11","Andrenidae","Andrenini","Ireland","LR","Andreninae","Andrena","Andrena_bicolor","Female",53.31,0.0172,NA,2.23333333333333,NA,0.013862815220195
"12","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_bucephala","Female",47.3769,0.0078,NA,2.308,NA,0.0150354265715685
"13","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_canatonia","Female",47.3769,0.0111,NA,2.876,NA,0.0258848621809002
"14","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_carantonica","Female",47.3769,0.0436,NA,3.00066666666667,NA,0.0287440914081263
"15","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_chrysosceles","Female",10.050008,0.026202,NA,1.872612916,NA,0.00897328831131336
"16","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_cineraria","Female",10.0758922666667,0.0122626666666667,0.00150443787951957,2.75968318653333,0.0661854920939862,0.0233762987064292
"17","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_cineraria","Female",47.3769,0.017121,NA,2.5695,NA,0.0195978063412333
"18","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_dorsata","Female",47.3769,0.022994,NA,2.128,NA,0.0123039615436189
"19","Andrenidae","Andrenini","Spain","IB","Andreninae","Andrena","Andrena_ferrugineicrus","Female",37.396355,0.0417606666666667,0.00850019607616985,1.52,0.262314696500215,0.00536093118103245
"20","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_flavipes","Female",10.0753783157895,0.036521,0.00277848879788996,2.29883807535088,0.082379204495633,0.0148884872855374
"21","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_flavipes","Female",47.3769,0.012996,NA,2.3645,NA,0.0159606281710688
"22","Andrenidae","Andrenini","Spain","IB","Andreninae","Andrena","Andrena_florea","Female",37.396355,0.0394893333333333,0.00479575208859237,2.75,0.127572065578911,0.0231742977982525
"23","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_fulva","Female",10.0869807777778,0.041321,0.000707106781186543,2.61194050377778,0.153442171517481,0.0204067697383833
"24","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_fulvata","Female",10.0407633333333,0.022141,NA,1.876297953,NA,0.0090169511178486
"25","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_gravida","Female",10.1132135714286,0.0231381403508772,0.00411139503366035,2.54311415328571,0.116158162391678,0.0191046489307941
"26","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_gravida","Female",47.3769,0.0288225,0.0104630590412173,2.53666666666667,0.0049497474683056,0.0189852794999659
"27","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_haemorrhoa","Female",10.0656558333333,0.0295848888888889,0.00430100117543708,2.5209235045,0.17846444316658,0.0186956773459029
"28","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_haemorrhoa","Female",47.3769,0.0118626666666667,0.00722657134008468,2.4325,0.12935010278509,0.0171180116847804
"29","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_helvola","Female",10.0479152,0.0293245714285714,0.00413711424615206,2.2067229278,0.0921175379110266,0.0134585397109486
"30","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_helvola","Female",47.3769,0.037426,0.00326414950637988,2.15133333333333,0.105358119446644,0.0126397599751522
"31","Andrenidae","Andrenini","Spain","IB","Andreninae","Andrena","Andrena_hispania","Female",37.396355,0.0251876666666667,0.00491074116482215,2.95,0.0950442769009958,0.027560542936521
"32","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_lagopus","Female",10.0521831428571,0.025778375,0.00694480475787477,2.30209519228571,0.151912568839542,0.0149406266915958
"33","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_minutula","Female",9.9196142,0.018316,0.00261954194469186,1.3998226824,0.117005160161846,0.0043744065054788
"34","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_minutula","Female",47.3769,0.0214696666666667,0.00349146689325084,1.3445,0.144526352844963,0.00395985894997204
"35","Andrenidae","Andrenini","Spain","IB","Andreninae","Andrena","Andrena_nigroaenaea","Female",37.396355,0.0182102857142857,0.00288468864375838,2.56,0.0543912528360941,0.0194193874849566
"36","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_nigroaenea","Female",10.0715061714286,0.0043432,0.00118670771464586,2.84181271528571,0.0945241694847689,0.0251317518267208
"37","Andrenidae","Andrenini","Germany","LK","Andreninae","Andrena","Andrena_nitida","Female",10.0945212,0.0110125,0.0104772011768411,2.8251949535,0.00353553390593266,0.0247704494918681
"38","Andrenidae","Andrenini","Switzerland","LK","Andreninae","Andrena","Andrena_nitida","Female",47.3769,0.0376474285714286,0.00742655693435118,2.86833333333333,0.125223048450491,0.0257148220786551
"39","Andrenidae","Andrenini","Spain","IB","Andreninae","Andrena","Andrena_ovatula","Female",37.396355,0.042616,0.00797757969422918,1.51,0.120034434168518,0.00527426819459968
"40","Andrenidae","Andrenini","Spain","IB","Andreninae","Andrena","Andrena_rhyssonota","Female",37.396355,0.047421,0.012810542533398,1.93,0.218655741596998,0.00966762466034055
