,Loc1A,Loc1B,Loc2A,Loc2B,Loc3A,Loc3B,Loc4A,Loc4B,Loc5A,Loc5B,Loc6A,Loc6B,Loc7A,Loc7B,Loc8A,Loc8B,Loc9A,Loc9B,Loc10A,Loc10B
1,158,170,143,146,112,112,190,190,150,154,208,212,235,235,148,148,167,167,142,146
2,158,160,143,146,112,112,181,190,150,152,200,212,233,235,148,148,157,167,146,146
3,158,160,146,146,112,112,181,190,152,152,200,200,233,235,148,157,176,176,142,142
4,160,170,143,146,110,112,190,190,150,154,208,212,233,235,148,148,167,167,142,146
5,158,168,143,146,112,112,181,181,152,156,200,206,233,233,148,148,157,167,142,146
6,160,170,143,146,110,112,181,190,154,154,200,200,231,231,136,148,167,176,142,146
7,160,170,143,146,110,112,181,190,150,154,200,200,231,231,136,148,167,176,142,146
8,168,170,146,146,110,112,184,190,154,154,200,210,231,231,148,157,167,167,142,146
9,168,168,143,146,112,112,184,190,152,152,208,210,231,231,148,154,167,167,142,142
10,158,170,143,146,110,110,181,181,152,152,200,202,233,235,136,148,167,176,142,146
11,158,170,143,146,110,112,181,181,152,152,200,208,233,235,136,148,167,176,142,146
12,158,158,143,146,112,112,181,181,152,152,202,204,231,233,154,154,167,176,146,146
13,160,160,143,143,112,112,181,190,152,152,200,200,231,233,136,148,167,176,146,146
14,168,170,143,146,112,112,184,190,152,152,208,210,231,231,148,148,167,167,138,142
15,158,170,143,146,110,110,181,181,152,152,200,202,233,235,148,154,167,176,142,146
16,158,168,146,146,110,112,187,193,152,158,200,202,233,235,136,148,167,167,146,146
17,158,170,143,146,112,112,181,190,134,152,202,206,233,233,148,148,157,176,138,146
18,158,158,143,146,112,112,190,190,150,154,202,208,231,233,148,154,167,167,146,146
19,158,160,146,155,110,112,181,181,134,150,208,208,233,235,136,136,167,167,146,146
20,158,158,143,146,112,112,190,190,134,152,200,202,233,233,136,148,167,167,142,146
21,158,158,146,146,112,112,181,181,152,156,206,208,233,233,148,154,167,167,146,146
22,158,170,143,146,110,112,181,181,152,152,200,208,233,235,136,148,167,167,142,146
23,158,168,143,146,112,112,181,181,152,152,206,208,233,233,148,148,157,167,142,146
24,158,170,143,146,110,110,181,181,152,152,200,202,233,235,136,148,167,176,142,146
25,158,168,146,146,112,112,181,181,152,152,200,206,233,233,148,148,157,167,146,146
26,158,158,143,146,112,112,181,181,152,152,206,208,233,233,148,148,157,167,146,146
27,158,170,131,146,112,112,181,181,150,152,200,206,235,235,139,148,167,167,142,146
