Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL,Bl_cor
Syrphoidea,SpainBF415,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Merodontini,Platynochaetus,NA,Platynochaetus_setosus,Female,NA,NA,0.0581,4.55,13.74,13.74
Syrphoidea,SpainBF417,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Syrphinae,Syrphini,Episyrphus,NA,Episyrphus_baleatus,Female,NA,NA,0.0133,2.8,13.85,13.85
Syrphoidea,SpainBF422,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Volucellini,Volucella,NA,Volucella_elegans,Female,NA,NA,0.0432,5.99,18.83,18.83
Syrphoidea,SpainBF425,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,Eristalinus_taeniops,Female,NA,NA,0.0348,3.53,13.58,13.58
Syrphoidea,SpainBF428,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,NA,Sphaerophoria_scripta,Male,NA,NA,0.0047,1.58,10.35,10.35
Syrphoidea,SpainBF433,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Eristalini,Myathropa,NA,Myathropa_florea,Male,NA,NA,0.017,3.46,12.68,12.68
Syrphoidea,SpainBF463,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Milesiini,Syritta,NA,Syritta_pipiens,Male,NA,NA,0.0055,1.85,9.94,9.94
Syrphoidea,SpainBF465,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,Eristalinus_megacephalus,Male,NA,NA,0.0071,2.99,10.05,10.05
Apoidea,ALLO-AUS-308,Australasia,Australia,LK,KATHE,Kings producersREF142,-14.52,132.45,0,12/6/17,Mango,Hand,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_aeruginosa,Female,0.0697,0.038672,0.031028,3.426364,19.974,12.26748783
Apoidea,ALLO-AUS-332,Australasia,Australia,LK,MAREE,CetinecREF042,-16.99,145.46,0,14/8/17,Mango,Hand,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_aeruginosa,Female,0.0701,0.038672,0.031428,3.28957,18.253,11.21049641
Apoidea,ALLO-AUS-12,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.0971,0.067166,0.029934,3.4674022,16.766,10.29722143
Apoidea,ALLO-AUS-43,Australasia,Australia,LK,COFFS,COFFSFeatherstones,-30,153.1,0,16/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.1007,0.067166,0.033534,3.5996364,17.4,10.686607
Apoidea,ALLO-AUS-168,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,5/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.1247,0.067166,0.057534,3.5344964,20.089,12.3381177
Apoidea,ALLO-AUS-173,Australasia,Australia,LK,COFFS,COFFSFeatherstones,-30,153.1,0,8/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.1077,0.067166,0.040534,3.5475244,19.171,11.77430706
Apoidea,ALLO-AUS-232,Australasia,Australia,LK,BUNDA,Bundaberg,-24.84,152.46,0,19/2/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.0685,0.038672,0.029828,3.55781652,18.287,11.23137829
Apoidea,ALLO-AUS-233,Australasia,Australia,LK,BUNDA,Bundaberg,-24.84,152.46,0,19/2/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Male,0.0638,0.038672,0.025128,3.5514328,16.562,10.17193018
Apoidea,ALLO-AUS-179,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/4/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Asaropoda,Amegilla_bombiformis,Female,0.1635,0.067166,0.096334,4.67386014,26.1596,16.0665152
Apoidea,ALLO-CSI-116,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.059,0.038672,0.020328,2.9521448,16.424,10.08717433
Apoidea,ALLO-CSI-12,Australasia,Australia,LK,SA_NT,"Witjira NP, 3O'Clock Creek",-26.46,135.41,201,21/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0584,0.038672,0.019728,2.8655086,16.988,10.4335678
Apoidea,ALLO-CSI-120,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0547,0.038672,0.016028,2.449264,17.416,10.69643376
