,Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor_65,IT_cor,BL,Bl_cor
9,Apoidea,SpainBF100,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Rophitinae,Rophitini,Systropha,NA,Systropha_planidens,Male,NA,NA,-3.968593357,0.850150929,2.34,2.34,10.87,10.87
10,Apoidea,SpainBF101,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Halictus,NA,Halictus_scabiosae,Female,NA,NA,-3.803168601,0.904218151,2.47,2.47,13.33,13.33
11,Apoidea,SpainBF102,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Halictus,NA,Halictus_scabiosae,Female,NA,NA,-3.844364357,0.797507196,2.22,2.22,12.03,12.03
12,Apoidea,SpainBF103,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Sphecodes,NA,Sphecodes_sp,Female,NA,NA,-5.067205646,0.451075619,1.57,1.57,8.28,8.28
13,Apoidea,SpainBF103,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Female,NA,NA,-5.067205646,0.451075619,1.57,1.57,8.28,8.28
14,Apoidea,SpainBF110,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Male,NA,NA,-4.327538449,0.978326123,2.66,2.66,12.35,12.35
15,Apoidea,SpainBF120,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Male,NA,NA,-3.619353391,1.115141591,3.05,3.05,14.83,14.83
16,Apoidea,SpainBF122,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_crassicornis,Female,NA,NA,-3.742280231,0.924258902,2.52,2.52,13.08,13.08
17,Apoidea,SpainBF127,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Female,NA,NA,-4.595219855,1.01884732,2.77,2.77,11.02,11.02
18,Apoidea,SpainBF136,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_crassicornis,Female,NA,NA,-4.439655748,0.871293366,2.39,2.39,9.86,9.86
19,Apoidea,SpainBF15,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_imminutus,Female,NA,NA,-4.803621125,0.524728529,1.69,1.69,7.03,7.03
20,Apoidea,SpainBF151,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Male,NA,NA,-3.473768074,1.199964783,3.32,3.32,12.36,12.36
21,Apoidea,SpainBF156,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Colletidae,Colletinae,Colletini,Colletes,NA,Colletes_acutus,Female,NA,NA,-4.815891217,0.657520003,1.93,1.93,8.85,8.85
22,Apoidea,SpainBF160,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Colletidae,Colletinae,Colletini,Colletes,NA,Colletes_nigricans,Male,NA,NA,-4.892852258,0.615185639,1.85,1.85,9.23,9.23
23,Apoidea,SpainBF161,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Colletidae,Colletinae,Colletini,Colletes,NA,Colletes_acutus,Male,NA,NA,-4.565949473,0.802001585,2.23,2.23,9.46,9.46
24,Apoidea,SpainBF162,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Hoplitis,NA,Hoplitis_adunca,Female,NA,NA,-4.556380022,0.802001585,2.23,2.23,7.79,7.79
25,Apoidea,SpainBF171,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Colletidae,Colletinae,Colletini,Colletes,NA,Colletes_acutus,Female,NA,NA,-3.81217767,1.166270937,3.21,3.21,11.81,11.81
