Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL
Apoidea,ALLO-AUS-308,Australasia,Australia,LK,KATHE,Kings producersREF142,-14.52,132.45,0,12-06-17,Mango,Hand,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_aeruginosa,Female,0.0697,0.038672,0.031028,3.426364,12.26748783
Apoidea,ALLO-AUS-332,Australasia,Australia,LK,MAREE,CetinecREF042,-16.99,145.46,0,14-08-17,Mango,Hand,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_aeruginosa,Female,0.0701,0.038672,0.031428,3.28957,11.21049641
Apoidea,ALLO-AUS-12,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,15-05-17,Bidens pilosa,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.0971,0.067166,0.029934,3.4674022,10.29722143
Apoidea,ALLO-AUS-43,Australasia,Australia,LK,COFFS,COFFSFeatherstones,-30,153.1,0,16-05-17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.1007,0.067166,0.033534,3.5996364,10.686607
Apoidea,ALLO-AUS-168,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,05-05-17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.1247,0.067166,0.057534,3.5344964,12.3381177
Apoidea,ALLO-AUS-173,Australasia,Australia,LK,COFFS,COFFSFeatherstones,-30,153.1,0,08-05-17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.1077,0.067166,0.040534,3.5475244,11.77430706
Apoidea,ALLO-AUS-232,Australasia,Australia,LK,BUNDA,Bundaberg,-24.84,152.46,0,19-02-17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.0685,0.038672,0.029828,3.55781652,11.23137829
Apoidea,ALLO-AUS-233,Australasia,Australia,LK,BUNDA,Bundaberg,-24.84,152.46,0,19-02-17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Male,0.0638,0.038672,0.025128,3.5514328,10.17193018
Apoidea,ALLO-AUS-179,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,08-04-17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Asaropoda,Amegilla_bombiformis,Female,0.1635,0.067166,0.096334,4.67386014,16.0665152
Apoidea,ALLO-CSI-116,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.059,0.038672,0.020328,2.9521448,10.08717433
Apoidea,ALLO-CSI-12,Australasia,Australia,LK,SA_NT,"Witjira NP, 3OClock Creek",-26.46,135.41,201,21-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0584,0.038672,0.019728,2.8655086,10.4335678
Apoidea,ALLO-CSI-120,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0547,0.038672,0.016028,2.449264,10.69643376
Apoidea,ALLO-CSI-121,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0613,0.038672,0.022628,3.1482162,11.82221254
Apoidea,ALLO-CSI-126,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0754,0.038672,0.036728,3.5827,12.38847987
Apoidea,ALLO-CSI-154,Australasia,Australia,LK,SA_NT,"Witjira NP, Creek",-26.37,135.79,201,22-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0706,0.038672,0.031928,3.243972,12.19010205
Apoidea,ALLO-CSI-158,Australasia,Australia,LK,SA_NT,"Witjira NP, Creek",-26.37,135.79,201,22-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0674,0.038672,0.028728,3.3045522,11.418701
Apoidea,ALLO-CSI-22,Australasia,Australia,LK,SA_NT,"Witjira NP, Pumi Bore",-26.28,136.1,201,22-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0557,0.038672,0.017028,2.6036458,12.94614879
Apoidea,ALLO-CSI-36,Australasia,Australia,LK,SA_NT,"Witjira NP, Mound spring",-26.42,135.51,201,22-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0566,0.038672,0.017928,2.8199106,11.90635421
Apoidea,ALLO-CSI-37,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0724,0.038672,0.033728,2.8746282,11.75465353
Apoidea,ALLO-CSI-446,Australasia,Australia,LK,SA_NT,"Witjira NP, Binns Track",-26,135.33,201,17-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.067,0.038672,0.028328,3.2674224,11.12389804
Apoidea,ALLO-CSI-450,Australasia,Australia,LK,SA_NT,"Witjira NP, Binns Track",-26,135.33,201,17-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0586,0.038672,0.019928,3.0902416,11.66314178
Apoidea,ALLO-CSI-451,Australasia,Australia,LK,SA_NT,"Witjira NP, Binns Track",-26,135.33,201,17-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0697,0.038672,0.031028,3.5670664,11.99725179
Apoidea,ALLO-CSI-457,Australasia,Australia,LK,SA_NT,"Witjira NP, Binns Track",-26,135.33,201,17-03-17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0682,0.038672,0.029528,3.1749236,11.29156722
Apoidea,ALLO-AUS-512,Australasia,Australia,LK,VICTORIA,b8p0b,-36.68,145.39,60,22-12-15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0672,0.03536129,0.03183871,3.6797586,11.61093709
