Taxa,Tag,Region,Country,Locality,Location,Latitude,Longitude,Pres.time,Col.Date,Plant,Col.method,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL,ITxBL
HOVERFLY,ALLO-AUS-06,Australasia,Australia,COFFS,COFFSS1S,-30.01,153.15,0,11/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,Lathyrophthalmus,punctulatus,Male,0.0906,0.067166,0.023434,6.597,18.508,122.097276
HOVERFLY,ALLO-AUS-07,Australasia,Australia,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Male,0.0682,0.067166,0.001034,1.688,10.885,18.37388
HOVERFLY,ALLO-AUS-08,Australasia,Australia,COFFS,COFFSGrays Road,-29.94,153.13,0,11/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Eristalinae,Cerioidini,Ceriana,Ceriana,cersp1,Female,0.0699,0.067166,0.002734,2.206,14.028,30.945768
HOVERFLY,ALLO-AUS-10,Australasia,Australia,COFFS,COFFSCamellia,-30,153.15,0,11/5/17,Camellia,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,Lathyrophthalmus,punctulatus,Male,0.0881,0.067166,0.020934,5.877,16.903,99.338931
HOVERFLY,ALLO-AUS-13,Australasia,Australia,COFFS,COFFSRoadside weeds,-30,153.15,0,15/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0684,0.067166,0.001234,2.388,10.965,26.18442
HOVERFLY,ALLO-AUS-14,Australasia,Australia,COFFS,COFFSRoadside weeds,-30,153.15,0,15/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0686,0.067166,0.001434,2.815,13.017,36.642855
HOVERFLY,ALLO-AUS-17,Australasia,Australia,COFFS,COFFSBasil,-29.99,153.14,0,11/5/17,Basil,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0682,0.067166,0.001034,2.084,9.0906,18.9448104
HOVERFLY,ALLO-AUS-21,Australasia,Australia,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0737,0.067166,0.006534,4.093,15.627,63.961311
HOVERFLY,ALLO-AUS-22,Australasia,Australia,COFFS,COFFSS1S,-30.01,153.15,0,11/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,punctulatus,Female,0.0982,0.067166,0.031034,6.127,19.265,118.036655
HOVERFLY,ALLO-AUS-28,Australasia,Australia,COFFS,COFFSS1S,-30.01,153.15,0,11/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,punctulatus,Male,0.0921,0.067166,0.024934,6.205,19.77,122.67285
HOVERFLY,ALLO-AUS-29,Australasia,Australia,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Male,0.07,0.067166,0.002834,2.258,11.011,24.862838
HOVERFLY,ALLO-AUS-30,Australasia,Australia,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0731,0.067166,0.005934,3.433,13.354,45.844282
HOVERFLY,ALLO-AUS-33,Australasia,Australia,COFFS,COFFSCamellia,-30,153.15,0,11/5/17,Camellia,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,punctulatus,Male,0.0874,0.067166,0.020234,6.203,18.991,117.801173
HOVERFLY,ALLO-AUS-38,Australasia,Australia,COFFS,COFFSRoadside weeds,-30,153.15,0,11/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0711,0.067166,0.003934,3.773,14.857,56.055461
HOVERFLY,ALLO-AUS-40,Australasia,Australia,COFFS,COFFSRoadside - Ditch,-30,153.14,0,11/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Male,0.0694,0.067166,0.002234,2.069,10.337,21.387253
HOVERFLY,ALLO-AUS-41,Australasia,Australia,COFFS,COFFSRoadside - Ditch,-30,153.14,0,11/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Male,0.0682,0.067166,0.001034,1.855,11.5192,21.368116
HOVERFLY,ALLO-AUS-47,Australasia,Australia,COFFS,COFFSGrays Road,-29.94,153.13,0,16/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.044,0.038672,0.005328,3.127,12.599,39.397073
HOVERFLY,ALLO-AUS-56,Australasia,Australia,COFFS,COFFSS1S,-30.01,153.15,0,16/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,punctulatus,Male,0.0947,0.067166,0.027534,6.191,18.502,114.545882
HOVERFLY,ALLO-AUS-59,Australasia,Australia,COFFS,COFFSGrays Road,-29.94,153.13,0,16/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Simosyrphus,NA,syrsp2,Male,0.0461,0.038672,0.007428,3.683,17.002,62.618366
HOVERFLY,ALLO-AUS-63,Australasia,Australia,COFFS,COFFSS1S,-30.01,153.15,0,16/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,punctulatus,Male,0.0988,0.067166,0.031634,6.362,19.754,125.674948
HOVERFLY,ALLO-AUS-69,Australasia,Australia,COFFS,COFFSGrays Road,-29.94,153.13,0,16/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0438,0.038672,0.005128,3.364,14.395,48.42478
HOVERFLY,ALLO-AUS-72,Australasia,Australia,COFFS,COFFSGrays Road,-29.94,153.13,0,17/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0411,0.038672,0.002428,2.391,11.092,26.520972
