Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor_65,IT_cor,BL,Bl_cor
Syrphoidea,SpainBF415,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Merodontini,Platynochaetus,NA,Platynochaetus_setosus,Female,NA,NA,0.0581,4.55,4.55,4.55,13.74,13.74
Syrphoidea,SpainBF417,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Syrphinae,Syrphini,Episyrphus,NA,Episyrphus_baleatus,Female,NA,NA,0.0133,2.8,2.8,2.8,13.85,13.85
Syrphoidea,SpainBF422,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Volucellini,Volucella,NA,Volucella_elegans,Female,NA,NA,0.0432,5.99,5.99,5.99,18.83,18.83
Syrphoidea,SpainBF425,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,Eristalinus_taeniops,Female,NA,NA,0.0348,3.53,3.53,3.53,13.58,13.58
Syrphoidea,SpainBF428,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,NA,Sphaerophoria_scripta,Male,NA,NA,0.0047,1.58,1.58,1.58,10.35,10.35
Syrphoidea,SpainBF433,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Eristalini,Myathropa,NA,Myathropa_florea,Male,NA,NA,0.0017,3.46,3.46,3.46,12.68,12.68
Syrphoidea,SpainBF463,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Milesiini,Syritta,NA,Syritta_pipiens,Male,NA,NA,0.0055,1.85,1.85,1.85,9.94,9.94
Syrphoidea,SpainBF465,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/6/17,NA,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,Eristalinus_megacephalus,Male,NA,NA,0.0071,2.99,2.99,2.99,10.05,10.05
Apoidea,SpainBF100,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Rophitinae,Rophitini,Systropha,NA,Systropha_planidens,Male,NA,NA,0.0189,2.34,2.34,2.34,10.87,10.87
Apoidea,SpainBF101,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Halictus,NA,Halictus_scabiosae,Female,NA,NA,0.0223,2.47,2.47,2.47,13.33,13.33
Apoidea,SpainBF102,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Halictus,NA,Halictus_scabiosae,Female,NA,NA,0.0214,2.22,2.22,2.22,12.03,12.03
Apoidea,SpainBF103,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Sphecodes,NA,Sphecodes_sp,Female,NA,NA,0.0063,1.57,1.57,1.57,8.28,8.28
Apoidea,SpainBF103,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Female,NA,NA,0.0063,1.57,1.57,1.57,8.28,8.28
Apoidea,SpainBF110,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Male,NA,NA,0.0132,2.66,2.66,2.66,12.35,12.35
Apoidea,SpainBF120,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Male,NA,NA,0.0268,3.05,3.05,3.05,14.83,14.83
Apoidea,SpainBF122,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_crassicornis,Female,NA,NA,0.0237,2.52,2.52,2.52,13.08,13.08
Apoidea,SpainBF127,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Female,NA,NA,0.0101,2.77,2.77,2.77,11.02,11.02
Apoidea,SpainBF136,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_crassicornis,Female,NA,NA,0.0118,2.39,2.39,2.39,9.86,9.86
Apoidea,SpainBF15,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_imminutus,Female,NA,NA,0.0082,1.69,1.69,1.69,7.03,7.03
Apoidea,SpainBF151,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Melittidae,Dasypodainae,Dasypodaini,Dasypoda,NA,Dasypoda_cingulata,Male,NA,NA,0.031,3.32,3.32,3.32,12.36,12.36
Apoidea,SpainBF156,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Colletidae,Colletinae,Colletini,Colletes,NA,Colletes_acutus,Female,NA,NA,0.0081,1.93,1.93,1.93,8.85,8.85
Apoidea,SpainBF160,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Colletidae,Colletinae,Colletini,Colletes,NA,Colletes_nigricans,Male,NA,NA,0.0075,1.85,1.85,1.85,9.23,9.23
Apoidea,SpainBF161,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Colletidae,Colletinae,Colletini,Colletes,NA,Colletes_acutus,Male,NA,NA,0.0104,2.23,2.23,2.23,9.46,9.46
Apoidea,SpainBF162,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Hoplitis,NA,Hoplitis_adunca,Female,NA,NA,0.0105,2.23,2.23,2.23,7.79,7.79
Apoidea,SpainBF171,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Colletidae,Colletinae,Colletini,Colletes,NA,Colletes_acutus,Female,NA,NA,0.0221,3.21,3.21,3.21,11.81,11.81
Apoidea,SpainBF180,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Xylocopinae,Ceratinini,Ceratina,NA,Ceratina_cucurbitina,Male,NA,NA,0.0058,0.85,0.85,0.85,3.92,3.92
Apoidea,SpainBF184,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Xylocopinae,Ceratinini,Ceratina,NA,Ceratina_cucurbitina,Female,NA,NA,0.0064,1.12,1.12,1.12,5.04,5.04
Apoidea,SpainBF19,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_nigroaenaea,Male,NA,NA,0.0039,1.3,1.3,1.3,7.6,7.6
