Reference,Source,Region,Location,Social_three,Social_strict,Nesting,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,IT,Spec.wgt,Type,N,Mean,Median,Max,VAR,VAR.TYPE,NOTES
Michener (1974),GL07_S2,SouthAmerica,NA,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Plebeia,,Plebeia_mosquito,1,NA,FT,,500,,,,,
Van Nieuwstadt and Iraheta (1996),GL07_S2,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Tetragonisca,,Tetragonisca_angustula,1,NA,FT,,700,,,,,
C. O’Toole (PC_2004),GL07_S3,Europe,UK,SO,ES,Soil,Apoidea,Halictidae,Halictinae,Halictini,Lasioglossum,,Lasioglossum_pauxillum,1.1,NA,NPA,,480,,,,,
Michener (1974),GL07_S2,SouthAmerica,NA,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Heterotrigona,,Heterotrigona_iridipennis,1.2,NA,FT,,100,,,,,
Batra (1984),GL07_S1,CentralAmerica,Costa Rica,SO,SO,Soil,Apoidea,Halictidae,Halictinae,Halictini,Lasioglossum,,Lasioglossum_umbripenne,1.2,NA,H,,100,,200,,,
Van Nieuwstadt and Iraheta (1996),GL07_S2,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Nannotrigona,,Nannotrigona_perilampoidea,1.4,NA,FT,,100,,,,,
Wille (1976),GL07_S3,SouthAmerica,NA,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Melipona,,Melipona_flavipennis,1.5,NA,H,,2000,,,,,
Van Nieuwstadt and Iraheta (1996),GL07_S2,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,,Trigona_corvina,1.5,NA,FT,,300,,,,,
Kapyla (1978),GL07_S3,Europe,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Chelostoma,,Chelostoma_florisomne,1.5,NA,MR,,300,,,,,
Gathmann and Tscharntke (2002) - Gathmann (1998),GL07_S3,Europe,Germany,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Chelostoma,,Chelostoma_rapunculi,1.5,NA,N_S,,200,,,,,
Appanah (1979) in Appanah (1982),GL07_S3,Asia,NA,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Heterotrigona,,Heterotrigona_erythrogastra,1.6,NA,N_S,,1100,,,,,
Kapyla (1978),GL07_S3,Europe,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Osmiini,Chelostoma,,Chelostoma_florisomne,1.6,NA,MR,,100,,,,,
C. O’Toole (PC_2004),GL07_S3,Europe,UK,AG,ES,Soil,Apoidea,Halictidae,Halictinae,Halictini,Lasioglossum,,Lasioglossum_malachurum,1.7,NA,NPA,,500,,,,,
Dyer and Seeley (1991),GL07_S2,Asia,Sri Lanka,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,,Apis_florea,1.8,NA,FT,,400,,,,,
Abrol (1988),GL07_S3,Asia,NA,ES,ES,AG,Apoidea,Apidae,Apinae,Apini,Apis,Apis,Apis_florea,1.8,NA,N_S,,500,,,,,
Van Nieuwstadt and Iraheta (1996),GL07_S2,CentralAmerica,Costa Rica,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Partamona,,Partamona_aff cupira,1.8,NA,FT,,500,,,,,
Michener (1974),GL07_S2,SouthAmerica,NA,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Trigona,,Trigona_spinipes,1.8,NA,FT,,800,,,,,
Abrol (1988),GL07_S3,Asia,NA,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_nana,1.9,NA,FA,,800,,,,,
Abrol (1988),GL07_S1,Asia,India,SO,SO,Cavity,Apoidea,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_nana,1.9,NA,H,,400,,600,,,
Roubik (1989),GL07_S3,CentralAmerica,NA,ES,ES,Cavity,Apoidea,Apidae,Apinae,Meliponini,Scaptotrigona,,Scaptotrigona_luteipennis,2,NA,PM,,1300,,,,,
Gathmann and Tscharntke (2002),GL07_S1,Europe,Germany,AG,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_barbilabris,2.1,NA,H,,100,,500,,,
Gathmann and Tscharntke (2002) - Wesserling (1996),GL07_S3,Europe,Germany,AG,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_barbilabris,2.1,NA,N_S,,300,,,,,
Gathmann and Tscharntke (2002) - Witt (1992),GL07_S3,Europe,Germany,AG,SO,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_barbilabris,2.1,NA,N_S,,500,,,,,
Gathmann and Tscharntke (2002),GL07_S1,Europe,Germany,AG,SO,Soil,Apoidea,Apidae,Apinae,Eucerini,Tetraloniella,,Tetraloniella_salicariae,2.1,NA,H,,200,,400,,,
Westrich (1996),GL07_S3,Europe,NA,SO,SO,Soil,Apoidea,Halictidae,Rophitinae,Rophitini,Systropha,,Systropha_planidens,2.1,NA,NPA,,100,,,,,
Gathmann and Tscharntke (2002),GL07_S1,Europe,Germany,AG,ES,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_flavipes,2.2,NA,H,,200,,400,,,
Gathmann and Tscharntke (2002) - Wesserling (1996),GL07_S3,Europe,Germany,AG,ES,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_flavipes,2.2,NA,N_S,,300,,,,,
C. O’Toole (personal communication 7/14/04),GL07_S3,Europe,UK,AG,ES,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_flavipes,2.2,NA,PM,,500,,,,,
Beil et al. (2008),Z2010_T1,Europe,Germany,AG,ES,Soil,Apoidea,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_flavipes,2.2,NA,PM,3,,,1150,,,
