,X,Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor_65,IT_cor,BL,Bl_cor,rndCoord.lon,rndCoord.lat,Climate,Cl_simp
77,275,Apoidea,ALLO-AUS-01,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,30,153.15,0,11/5/17,Bidens pilosa,Hand,Apidae,Xylocopinae,Allodapini,Exoneura,Exoneura,Exoneura_bicolor,Female,0.0683,0.067166,1.00113464322111,0.193089467529008,1.286515,1.212991312,8.869,5.447098705,153.25,-29.75,Cfa,C
78,276,Apoidea,ALLO-AUS-02,Australasia,Australia,LK,COFFS,COFFSGrays Road,29.94,153.13,0,11/5/17,Vaccinium,Hand,Apidae,Apinae,Meliponini,Tetragonula,Tetragonula,Tetragonula_carbonaria,Female,0.0694,0.067166,1.00223649723726,0.0360654646263776,1.0995632,1.036723713,5.733,3.521052754,153.25,-29.75,Cfa,C
79,277,Apoidea,ALLO-AUS-03,Australasia,Australia,LK,COFFS,COFFSGrays Road,29.94,153.13,0,11/5/17,Bidens pilosa,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,Chilalictus,Lasioglossum_lanarium,Female,0.0766,0.067166,1.00947864044689,0.633546952092185,1.9984952,1.884282199,12.608,7.743490864,153.25,-29.75,Cfa,C
80,278,Apoidea,ALLO-AUS-04,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,30,153.15,0,11/5/17,Bidens pilosa,Hand,Apidae,Apinae,Meliponini,Austroplebeia,Austroplebeia,Austroplebeia_australis,Female,0.0689,0.067166,1.00173550424733,0.396701747114137,1.5770394,1.486912388,6.931,4.256831788,153.25,-29.75,Cfa,C
81,279,Apoidea,ALLO-AUS-05,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,30,153.15,0,11/5/17,Bidens pilosa,Hand,Apidae,Xylocopinae,Allodapini,Exoneura,Exoneura,Exoneura_bicolor,Female,0.0692,0.067166,1.00203606998121,0.314522654551831,1.452622,1.36960538,9.476,5.819901604,153.25,-29.75,Cfa,C
82,280,Apoidea,ALLO-AUS-09,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,30,153.15,0,11/5/17,Bidens pilosa,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,Chilalictus,Lasioglossum_lassp1,Male,0.0699,0.067166,1.00273774078633,0.384650905021673,1.5581488,1.469101376,9.422,5.786736272,153.25,-29.75,Cfa,C
83,281,Apoidea,ALLO-AUS-11,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_pulchra,Female,0.1088,0.067166,1.04251284921401,1.23707178845042,3.654354,3.445509498,19.909,12.22756659,153.25,-29.75,Cfa,C
84,282,Apoidea,ALLO-AUS-12,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_asserta,Female,0.0971,0.067166,1.03038652619856,1.18455812316892,3.4674022,3.2692419,16.766,10.29722143,153.25,-29.75,Cfa,C
85,283,Apoidea,ALLO-AUS-15,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Xylocopinae,Allodapini,Braunsapis,Braunsapis,Braunsapis_brasp3,Female,0.0704,0.067166,1.00323923501983,0.468417055052261,1.6942914,1.597463494,10.559,6.485050764,153.25,-29.75,Cfa,C
86,284,Apoidea,ALLO-AUS-16,Australasia,Australia,LK,COFFS,COFFSRoadside S4?,30.02,153.12,0,11/5/17,NA,Vane,Halictidae,Halictinae,Halictini,Homalictus,Homalictus,Homalictus_urbanus,Male,5e-04,0,1.00050012502084,-0.17339838497122,0.8917666,0.840802585,5.484,3.368123723,153.25,-30.25,Cfa,C
