Tag,TYPE,Taxa,Infraorder,Family,Function,logA,logB
S93DB,BL,Diptera,Brachycera,NA,function(x){exp(-3.374+2.158*log(x))},-3.374,2.158
Sabo02DB,BL,Diptera,Brachycera,NA,function(x){0.006*(x)^3.05},-2.22184875,0.484299839
Sabo02DA,BL,Diptera,Brachycera,Asilidae,function(x){0.38*(x)^1.5},-0.420216403,0.176091259
Sabo02DBB,BL,Diptera,Brachycera,Bombyliidae,function(x){0.007*(x)^3.337},-2.15490196,0.527629901
S93DC,BL,Diptera,Cycclorapha,NA,function(x){exp(-3.619+2.632*log(x))},-3.619,2.632
BN06D,BL,Diptera,ALL,NA,function(x){-0.041+0.010*(x)},-0.041,0.01
G97D,BL,Diptera,ALL,NA,function(x){exp(-3.4294+2.5943*log(x))},-3.4294,2.5943
GR84D,BL,Diptera,ALL,NA,function(x){exp(-3.653+log(x)*2.546)},-3.653,2.546
JS00DA,BL,Diptera,ALL,NA,function(x){exp(-2.462+1.881*log(x))},-2.462,1.881
R77D,BL,Diptera,ALL,NA,function(x){exp(-3.293+2.366*log(x))},-3.293,2.366
S80DCF,BL,Diptera,ALL,NA,function(x){exp(log(0.074)+1.64*log(x))},-1.13076828,1.64
S80DCR,BL,Diptera,ALL,NA,function(x){exp(log(0.068)+1.59*log(x))},-1.167491087,1.59
S80DMF,BL,Diptera,ALL,NA,function(x){exp(log(0.022)+2.42*log(x))},-1.657577319,2.42
S93DA,BL,Diptera,ALL,NA,function(x){exp(-3.184+2.23*log(x))},-3.184,2.23
W13D,BL,Diptera,ALL,NA,function(x){exp(-3.29+2.65*log(x))},-3.29,2.65
JS00DN,BL,Diptera,Nematocera,NA,function(x){exp(-2.462+1.881*log(x))},-2.462,2.373
S93DN,BL,Diptera,Nematocera,NA,function(x){exp(-3.675+2.212*log(x))},-3.675,2.212
Sabo02DN,BL,Diptera,Nematocera,NA,function(x){0.1*(x)^1.57},-1,0.195899652
Sabo02HA,BL,Hymenoptera,Apoidea,Apidae,function(x){0.006*(x)^3.407},-2.22184875,0.532372134
S93HB,BL,Hymenoptera,Braconidae,NA,function(x){exp(-3.854+2.441*log(x))},-3.854,2.441
BN06HF,BL,Hymenoptera,Formicidae,NA,function(x){exp(log(0.001)+2.33*log(x))},-3,2.33
GR84F,BL,Hymenoptera,Formicidae,NA,function(x){exp(-3.997+log(x)*2.489)},-3.997,2.489
JS00HF,BL,Hymenoptera,Formicidae,NA,function(x){exp(-3.730+2.103*log(x))},-3.73,2.103
R77A,BL,Hymenoptera,Formicidae,NA,function(x){exp(-4.029+2.572*log(x))},-4.029,2.572
S80FCF,BL,Hymenoptera,Formicidae,NA,function(x){exp(log(0.012)+2.72*log(x))},-1.920818754,2.72
S80FCR,BL,Hymenoptera,Formicidae,NA,function(x){exp(log(0.021)+2.31*log(x))},-1.677780705,2.31
S80FMF,BL,Hymenoptera,Formicidae,NA,function(x){exp(log(0.034)+2.19*log(x))},-1.468521083,2.19
S93HF,BL,Hymenoptera,Formicidae,NA,function(x){exp(-4.727+2.919*log(x))},-4.727,2.919
S93HH,BL,Hymenoptera,HAL,NA,function(x){exp(-2.891+2.302*log(x))},-2.891,2.302
S93HI,BL,Hymenoptera,Ichneumonidae,NA,function(x){exp(-4.149+2.464*log(x))},-4.149,2.464
BN06H1,BL,Hymenoptera,NA,NA,function(x){exp(log(6.783)+2.544*log(x))},0.831421817,2.544
G97H,BL,Hymenoptera,NA,NA,function(x){exp(-3.5917+2.6429*log(x))},-3.5917,2.64
GR84H,BL,Hymenoptera,NA,NA,function(x){exp(-2.86+(x)*0.478)},-2.86,0.478
JS00HA,BL,Hymenoptera,NA,NA,function(x){exp(-3.556+2.193*log(x))},-3.556,2.193
R77H,BL,Hymenoptera,NA,NA,function(x){exp(-3.871+2.407*log(x))},-3.871,2.407
S80HCF,BL,Hymenoptera,NA,NA,function(x){exp(log(0.043)+2.07*log(x))},-1.366531544,2.07
S80HCR,BL,Hymenoptera,NA,NA,function(x){exp(log(0.022)+2.29*log(x))},-1.657577319,2.29
S80HMF,BL,Hymenoptera,NA,NA,function(x){exp(log(0.016)+2.55*log(x))},-1.795880017,2.55
S93HA,BL,Hymenoptera,NA,NA,function(x){exp(-4.284+2.696*log(x))},-4.284,2.696
Sabo02H,BL,Hymenoptera,NA,NA,function(x){0.56*(x)^1.56},-0.251811973,0.193124598
W13H,BL,Hymenoptera,NA,NA,function(x){exp(-4.3+3*log(x))},-4.3,3
S93HP,BL,Hymenoptera,Pompilidae,NA,function(x){exp(-2.341+2.006*log(x))},-2.341,2.006
S93HV,BL,Hymenoptera,Vespidae,NA,function(x){exp(-3.54+2.782*log(x))},-3.54,2.782
Sabo02HV,BL,Hymenoptera,Vespidae,NA,function(x){0.001*(x)^3.723},-3,0.570893036
S93LG,BL,Lepidoptera,Geometridae,NA,function(x){exp(-4.172+2.628*log(x))},-4.172,2.628
S93LM,BL,Lepidoptera,Microlepidoptera,NA,function(x){exp(-4.913+2.918*log(x))},-4.913,2.918
BN06L,BL,Lepidoptera,NA,NA,function(x){exp(log(0.001)+2.313*log(x))},-3,2.313
G97F,BL,Lepidoptera,NA,NA,function(x){exp(-3.1415+2.3447*log(x))},-3.1415,2.3447
G97L,BL,Lepidoptera,NA,NA,function(x){exp(-4.7915+2.8585*log(x))},-4.7915,2.8585
JS00L,BL,Lepidoptera,NA,NA,function(x){exp(-3.268+2.243*log(x))},-3.268,2.243
R77L,BL,Lepidoptera,NA,NA,function(x){exp(-4.037+2.903*log(x))},-4.037,2.903
S80LCF,BL,Lepidoptera,NA,NA,function(x){exp(log(0.026)+2.5*log(x))},-1.585026652,2.5
S80LCR,BL,Lepidoptera,NA,NA,function(x){exp(log(0.078)+1.32*log(x))},-1.107905397,1.32
S80LMF,BL,Lepidoptera,NA,NA,function(x){exp(log(0.014)+2.55*log(x))},-1.853871964,2.55
S93LA,BL,Lepidoptera,NA,NA,function(x){exp(-5.036+3.122*log(x))},-5.036,3.122
W13L,BL,Lepidoptera,NA,NA,function(x){exp(-3.83+2.77*log(x))},-3.83,2.77
S93LC,BL,Lepidoptera,Noctuoidea,Arctiinae,function(x){exp(-3.755+2.658*log(x))},-3.755,2.658
S93LN,BL,Lepidoptera,Noctuoidea,NA,function(x){exp(-3.337+2.499*log(x))},-3.337,2.499
S93DBLW,BLW,Diptera,Brachycera,NA,function(x){exp(-2.2+1.259*log(x))},-2.2,1.259
S93DCLW,BLW,Diptera,Cycclorapha,NA,function(x){exp(-2.02+1.298*log(x))},-2.02,1.298
S93DALW,BLW,Diptera,NA,NA,function(x){exp(-2.197+1.309*log(x))},-2.197,-2.197
S93DNLW,BLW,Diptera,Nematocera,NA,function(x){exp(-2.217+1.288*log(x))},-2.217,1.288
S93HBLW,BLW,Hymenoptera,Braconidae,NA,function(x){exp(-2.19+1.445*log(x))},-2.19,1.445
S93HFLW,BLW,Hymenoptera,Formicidae,NA,function(x){exp(-2.378+1.473*log(x))},-2.378,1.473
S93HHLW,BLW,Hymenoptera,HAL,NA,function(x){exp(-1.946+1.444*log(x))},-1.946,1.444
S93HILW,BLW,Hymenoptera,Ichneumonidae,NA,function(x){exp(-2.497+1.445*log(x))},-2.497,1.445
S93HALW,BLW,Hymenoptera,NA,NA,function(x){exp(-2.375+1.456*log(x))},-2.375,1.456
S93HPLW,BLW,Hymenoptera,Pompilidae,NA,function(x){exp(-1.946+1.444*log(x))},-1.946,1.444
S93HVLW,BLW,Hymenoptera,Vespidae,NA,function(x){exp(-1.537+1.319*log(x))},-1.537,1.319
S93LGLW,BLW,Lepidoptera,Geometridae,NA,function(x){exp(-2.343+1.387*log(x))},-2.343,1.387
S93LMLW,BLW,Lepidoptera,Microlepidoptera,NA,function(x){exp(-2.715+1.395*log(x))},-2.715,1.395
S93LALW,BLW,Lepidoptera,NA,NA,function(x){exp(-2.607+1.457*log(x))},-2.607,1.456
W13LLW,BLW,Lepidoptera,NA,NA,function(x){exp(-2.1+1.37*log(x))},-2.1,1.37
S93LCLW,BLW,Lepidoptera,Noctuoidea,Arctiinae,function(x){exp(-1.658+1.222*log(x))},-1.658,1.222
S93LNLW,BLW,Lepidoptera,Noctuoidea,NA,function(x){exp(-1.607+1.214*log(x))},-1.607,1.214
GreenleafMax,FR,Hymenoptera,Apoidea,NA,function(x){exp(-1.363 + 3.366*log(x))},1.363,3.36
GreenleafTyp,FR,Hymenoptera,Apoidea,NA,function(x){exp(-1.643 + 3.242*log(x))},-1.643,3.242
GreenleafFeeder,FR,Hymenoptera,Apoidea,NA,function(x){exp(-0.760 + 2.313*log(x))},-0.76,2.313
