,Superfamily,Tag,Region,Country,Measurer,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor,BL,Bl_cor
1,Syrphoidea,SpainBF415,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/06/2017,NA,Hand,Syrphidae,Eristalinae,Merodontini,Platynochaetus,NA,Platynochaetus_setosus,Female,NA,NA,0.0581,4.55,4.55,13.74,13.74
2,Syrphoidea,SpainBF417,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/06/2017,NA,Hand,Syrphidae,Syrphinae,Syrphini,Episyrphus,NA,Episyrphus_baleatus,Female,NA,NA,0.0133,2.8,2.8,13.85,13.85
3,Syrphoidea,SpainBF422,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/06/2017,NA,Hand,Syrphidae,Eristalinae,Volucellini,Volucella,NA,Volucella_elegans,Female,NA,NA,0.0432,5.99,5.99,18.83,18.83
4,Syrphoidea,SpainBF425,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/06/2017,NA,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,Eristalinus_taeniops,Female,NA,NA,0.0348,3.53,3.53,13.58,13.58
5,Syrphoidea,SpainBF428,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/06/2017,NA,Hand,Syrphidae,Syrphinae,Syrphini,Sphaerophoria,NA,Sphaerophoria_scripta,Male,NA,NA,0.0047,1.58,1.58,10.35,10.35
6,Syrphoidea,SpainBF433,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/06/2017,NA,Hand,Syrphidae,Eristalinae,Eristalini,Myathropa,NA,Myathropa_florea,Male,NA,NA,0.0017,3.46,3.46,12.68,12.68
7,Syrphoidea,SpainBF463,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/06/2017,NA,Hand,Syrphidae,Eristalinae,Milesiini,Syritta,NA,Syritta_pipiens,Male,NA,NA,0.0055,1.85,1.85,9.94,9.94
8,Syrphoidea,SpainBF465,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,21/06/2017,NA,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,NA,Eristalinus_megacephalus,Male,NA,NA,0.0071,2.99,2.99,10.05,10.05
9,Syrphoidea,ALLO-AUS-06,Australasia,Australia,LK,COFFS,COFFSS1S,-30.01,153.15,0,11/05/2017,Vaccinium,Hand,Syrphidae,Eristalinae,Eristalini,Eristalinus,Lathyrophthalmus,Eristalinus_punctulatus,Male,0.0906,0.067166,0.023434,6.597,4.051698067,18.508,11.36711048
10,Syrphoidea,ALLO-AUS-07,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,11/05/2017,Bidens pilosa,Hand,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,Syrphini_syrsp4,Male,0.0682,0.067166,0.001034,1.688,1.036723713,10.885,6.685271102
