Genus	Family	"Geographic region (0=absent, 1=present)"							
		Africa	Central America	Eastern Paleoartic	North America	Oceania	South America	Western Paleoartic	
Alocandrena	Andrenidae	0	0	0	0	0	1	0	
Andrena	Andrenidae	1	0	1	1	0	0	1	
Arhysosage	Andrenidae	0	0	0	0	0	1	0	
Calliopsis	Andrenidae	0	1	0	1	0	1	0	
Callonychium	Andrenidae	0	0	0	0	0	1	0	
Camptopoeum	Andrenidae	0	0	1	0	0	0	1	
Clavipanurgus	Andrenidae	0	0	1	0	0	0	1	
Euherbstia	Andrenidae	0	0	0	0	0	1	0	
Macrotera	Andrenidae	0	0	0	1	0	0	0	
Megandrena	Andrenidae	0	0	0	1	0	0	0	
Melitturga	Andrenidae	1	0	1	0	0	0	1	
Meliturgula	Andrenidae	1	0	0	0	0	0	0	
Neffapis	Andrenidae	0	0	0	0	0	1	0	
Nolanomelissa	Andrenidae	0	0	0	0	0	1	0	
Orphana	Andrenidae	0	0	0	0	0	1	0	
Panurginus	Andrenidae	0	0	1	1	0	0	1	
Panurgus	Andrenidae	0	0	1	0	0	0	1	
Perdita	Andrenidae	0	1	0	1	0	0	0	
Plesiopanurgus	Andrenidae	0	0	0	0	0	0	1	
Protandrena	Andrenidae	0	1	0	1	0	0	0	
Protoxaea	Andrenidae	0	1	0	1	0	1	0	
Pseudopanurgus	Andrenidae	0	1	0	1	0	0	0	
Aglae	Apidae	0	0	0	0	0	1	0	
Alepidosceles	Apidae	0	0	0	0	0	1	0	
Allodape	Apidae	1	0	0	0	0	0	0	
Allodapula	Apidae	1	0	0	0	0	0	0	
Amegilla	Apidae	1	0	1	0	1	0	1	
Ammobates	Apidae	0	0	1	0	0	0	1	
Ammobatoides	Apidae	0	0	1	0	0	0	1	
Ancyla	Apidae	0	0	0	0	0	0	1	
Ancyloscelis	Apidae	0	1	0	1	0	1	0	
Anthophora	Apidae	1	1	1	1	0	1	1	
Anthophorula	Apidae	0	1	0	1	0	1	0	
Aparatrigona	Apidae	0	1	0	0	0	1	0	
Apis	Apidae	1	1	1	1	1	1	1	
Apotrigona	Apidae	1	0	0	0	0	0	0	
Arhysoceble	Apidae	0	0	0	0	0	1	0	
Austroplebeia	Apidae	0	0	0	0	1	0	0	
Axestotrigona	Apidae	1	0	0	0	0	0	0	
Biastes	Apidae	0	0	0	0	0	0	1	
Bombus	Apidae	0	1	1	1	0	1	1	
Brachynomada	Apidae	0	1	0	1	0	1	0	
Braunsapis	Apidae	1	0	1	0	1	0	0	
Brevineura	Apidae	0	0	0	0	1	0	0	
Caenonomada	Apidae	0	0	0	0	0	1	0	
Caenoprosopina	Apidae	0	0	0	0	0	1	0	
Caenoprosopis	Apidae	0	0	0	0	0	1	0	
Celetrigona	Apidae	0	0	0	0	0	1	0	
Centris	Apidae	0	1	0	1	0	1	0	
Cephalotrigona	Apidae	0	1	0	1	0	1	0	
Ceratina	Apidae	1	1	1	1	1	1	1	
Coelioxoides	Apidae	0	1	0	1	0	1	0	
Compsomelissa	Apidae	1	0	0	0	0	0	0	
Ctenioschelus	Apidae	0	1	0	1	0	1	0	
Ctenoplectra	Apidae	1	0	1	0	1	0	0	
Ctenoplectrina	Apidae	1	0	0	0	0	0	0	
Dactylurina	Apidae	1	0	0	0	0	0	0	
Deltoptila	Apidae	0	1	0	1	0	0	0	
Diadasia	Apidae	0	1	0	1	0	1	0	
Diadasina	Apidae	0	0	0	0	0	1	0	
Doeringiella	Apidae	0	0	0	0	0	1	0	
Dolichotrigona	Apidae	0	0	0	0	0	1	0	
Duckeola	Apidae	0	0	0	0	0	1	0	
Epeoloides	Apidae	0	0	0	1	0	0	1	
Epeolus	Apidae	1	1	1	1	0	1	1	
Epicharis	Apidae	0	1	0	0	0	1	0	
Epiclopus	Apidae	0	0	0	0	0	1	0	
Ericrocis	Apidae	0	0	0	1	0	0	0	
Eucera	Apidae	0	0	1	1	0	0	1	
Eufriesea	Apidae	0	1	0	0	0	1	0	
Euglossa	Apidae	0	1	0	1	0	1	0	
Eulaema	Apidae	0	1	0	1	0	1	0	
Exaerete	Apidae	0	1	0	1	0	1	0	
Exomalopsis	Apidae	0	1	0	1	0	1	0	
Exoneura	Apidae	0	0	0	0	1	0	0	
Exoneurella	Apidae	0	0	0	0	1	0	0	
Exoneuridia	Apidae	0	0	1	0	0	0	0	
Florilegus	Apidae	0	1	0	1	0	1	0	
Friesella	Apidae	0	0	0	0	0	1	0	
Frieseomelitta	Apidae	0	1	0	0	0	1	0	
Geniotrigona	Apidae	0	0	1	0	0	0	0	
Geotrigona	Apidae	0	1	0	0	0	1	0	
Halterapis	Apidae	1	0	0	0	0	0	0	
Heterotrigona	Apidae	0	0	1	0	0	0	0	
Hexepeolus	Apidae	0	0	0	1	0	0	0	
Holcopasites	Apidae	0	1	0	1	0	0	0	
Homotrigona	Apidae	0	0	1	0	0	0	0	
Hopliphora	Apidae	0	0	0	0	0	1	0	
Hypotrigona	Apidae	1	0	0	0	0	0	0	
Inquilina	Apidae	0	0	0	0	1	0	0	
Isepeolus	Apidae	0	0	0	0	0	1	0	
Leiopodus	Apidae	0	1	0	1	0	1	0	
Lepidotrigona	Apidae	0	0	1	0	0	0	0	
Lestrimelitta	Apidae	0	1	0	0	0	1	0	
Leurotrigona	Apidae	0	0	0	0	0	1	0	
Liotrigona	Apidae	1	0	0	0	0	0	0	
Lisotrigona	Apidae	0	0	1	0	0	0	0	
Lophotrigona	Apidae	0	0	1	0	0	0	0	
Macrogalea	Apidae	1	0	0	0	0	0	0	
Manuelia	Apidae	0	0	0	0	0	1	0	
Martinapis	Apidae	0	1	0	1	0	1	0	
Melecta	Apidae	0	1	1	1	0	0	1	
Melectoides	Apidae	0	0	0	0	0	1	0	
Meliphilopsis	Apidae	0	0	0	0	0	1	0	
Meliplebeia	Apidae	1	0	0	0	0	0	0	
Melipona	Apidae	0	1	0	0	0	1	0	
Meliponula	Apidae	1	0	0	0	0	0	0	
Melissodes	Apidae	0	1	0	1	0	1	0	
Melissoptila	Apidae	0	1	0	1	0	1	0	
Melitoma	Apidae	0	1	0	1	0	1	0	
Meliwillea	Apidae	0	1	0	0	0	0	0	
Mesocheira	Apidae	0	1	0	1	0	1	0	
Mesonychium	Apidae	0	0	0	0	0	1	0	
Mesoplia	Apidae	0	1	0	1	0	1	0	
Mourella	Apidae	0	0	0	0	0	1	0	
Nannotrigona	Apidae	0	1	0	0	0	1	0	
Nanorhathymus	Apidae	0	1	0	0	0	1	0	
Neolarra	Apidae	0	1	0	1	0	0	0	
Neopasites	Apidae	0	0	0	1	0	0	0	
Nogueirapis	Apidae	0	0	0	0	0	1	0	
Nomada	Apidae	1	1	1	1	1	1	1	
Odontotrigona	Apidae	0	0	1	0	0	0	0	
Odyneropsis	Apidae	0	1	0	1	0	1	0	
Oreopasites	Apidae	0	1	0	1	0	0	0	
Osiris	Apidae	0	1	0	0	0	1	0	
Oxytrigona	Apidae	0	0	0	0	0	1	0	
Pachymelus	Apidae	1	0	0	0	0	0	0	
Paranomada	Apidae	0	0	0	1	0	0	0	
Parapartamona	Apidae	0	1	0	0	0	1	0	
Paratetrapedia	Apidae	0	1	0	0	0	1	0	
Paratrigona	Apidae	0	1	0	0	0	1	0	
Parepeolus	Apidae	0	0	0	0	0	1	0	
Partamona	Apidae	0	1	0	0	0	1	0	
Pasites	Apidae	1	0	1	0	0	0	1	
Peponapis	Apidae	0	1	0	1	0	1	0	
Platytrigona	Apidae	0	0	1	0	0	0	0	
Plebeia	Apidae	0	1	0	0	0	1	0	
Plebeiella	Apidae	1	0	0	0	0	0	0	
Plebeina	Apidae	1	0	0	0	0	0	0	
Ptilothrix	Apidae	0	1	0	1	0	1	0	
Ptilotrigona	Apidae	0	0	0	0	0	1	0	
Rhathymus	Apidae	0	1	0	0	0	1	0	
Rhinepeolus	Apidae	0	0	0	0	0	1	0	
Scaptotrigona	Apidae	0	1	0	0	0	1	0	
Scaura	Apidae	0	1	0	1	0	1	0	
Schwarziana	Apidae	0	0	0	0	0	1	0	
Schwarzula	Apidae	0	1	0	1	0	1	0	
Sphecodopsis	Apidae	1	0	0	0	0	0	0	
Sundatrigona	Apidae	0	0	1	0	0	0	0	
Svastra	Apidae	0	1	0	1	0	1	0	
Svastrides	Apidae	0	0	0	0	0	1	0	
Svastrina	Apidae	0	0	0	0	0	1	0	
Tapinotaspidini	Apidae	0	1	0	0	0	1	0	
Tapinotaspoides	Apidae	0	0	0	0	0	1	0	
Tetragona	Apidae	0	1	0	0	0	1	0	
Tetragonilla	Apidae	0	0	1	0	0	0	0	
Tetragonisca	Apidae	0	1	0	0	0	1	0	
Tetragonula	Apidae	0	0	1	0	1	0	0	
Tetralonia	Apidae	1	0	1	0	0	0	1	
Tetraloniella	Apidae	1	0	1	0	0	0	1	
Tetralonioidella	Apidae	0	0	1	0	0	0	0	
Tetrigona	Apidae	0	0	1	0	0	0	0	
Thalestria	Apidae	0	1	0	0	0	1	0	
Thygater	Apidae	0	1	0	0	0	1	0	
Thyreus	Apidae	1	0	1	0	1	0	1	
Townsendiella	Apidae	0	0	0	1	0	0	0	
Trichotrigona	Apidae	0	0	0	0	0	1	0	
Triepeolus	Apidae	0	1	1	1	0	1	1	
Trigona	Apidae	0	1	0	0	0	1	0	
Trigonisca	Apidae	0	0	0	0	0	1	0	
Triopasites	Apidae	0	0	0	1	0	0	0	
Xenoglossa	Apidae	0	1	0	1	0	0	0	
Xeromelecta	Apidae	0	0	0	1	0	0	0	
Xylocopa	Apidae	1	1	1	1	1	1	1	
Zacosmia	Apidae	0	0	0	1	0	0	0	
Amphylaeus	Colletidae	0	0	0	0	1	0	0	
Andrenopsis	Colletidae	0	0	0	0	1	0	0	
Belopria	Colletidae	0	0	0	0	0	1	0	
Brachyglossula	Colletidae	0	0	0	0	0	1	0	
Cadeguala	Colletidae	0	0	0	1	0	1	0	
Cadegualina	Colletidae	0	0	0	0	0	1	0	
Callohesma	Colletidae	0	0	0	0	1	0	0	
Callomelitta	Colletidae	0	0	0	0	1	0	0	
Caupolicana	Colletidae	0	1	0	1	0	1	0	
Cephalocolletes	Colletidae	0	0	0	0	0	1	0	
Chilicola	Colletidae	0	0	0	0	0	1	0	
Chilicolletes	Colletidae	0	0	0	0	0	1	0	
Chilimelissa	Colletidae	0	0	0	0	0	1	0	
Colletellus	Colletidae	0	0	0	0	1	0	0	
Colletes	Colletidae	1	1	1	1	0	1	1	
Diphaglossa	Colletidae	0	0	0	0	0	1	0	
Edwyniana	Colletidae	0	0	0	0	0	1	0	
Euhesma	Colletidae	0	0	0	0	1	0	0	
Eulonchopria	Colletidae	0	1	0	1	0	1	0	
Euryglossa	Colletidae	0	0	0	0	1	0	0	
Euryglossidia	Colletidae	0	0	0	0	1	0	0	
Euryglossina	Colletidae	0	0	0	0	1	0	0	
Excolletes	Colletidae	0	0	0	0	1	0	0	
Geodiscelis	Colletidae	0	0	0	0	0	1	0	
Glossurocolletes	Colletidae	0	0	0	0	1	0	0	
Goniocolletes	Colletidae	0	0	0	0	1	0	0	
Halictanthrena	Colletidae	0	0	0	0	0	1	0	
Hemicotelles	Colletidae	0	0	0	0	0	1	0	
Hexantheda	Colletidae	0	0	0	0	0	1	0	
Hoplocolletes	Colletidae	0	0	0	0	0	1	0	
Hylaeus	Colletidae	1	1	1	1	1	1	1	
Hyleoides	Colletidae	0	0	0	0	1	0	0	
Kylopasiphae	Colletidae	0	0	0	0	0	1	0	
Lamprocolletes	Colletidae	0	0	0	0	1	0	0	
Leioproctus	Colletidae	0	0	0	0	1	0	0	
Meroglossa	Colletidae	0	0	0	0	1	0	0	
Mourecotelles	Colletidae	0	0	0	0	0	1	0	
Mydrosoma	Colletidae	0	1	0	1	0	1	0	
Neopasiphae	Colletidae	0	0	0	0	1	0	0	
Niltonia	Colletidae	0	0	0	0	0	1	0	
Nomiocolletes	Colletidae	0	0	0	0	0	1	0	
Odontocolletes	Colletidae	0	0	0	0	1	0	0	
Palaeorhiza	Colletidae	0	0	1	0	1	0	0	
Paracolletes	Colletidae	0	0	0	0	1	0	0	
Perditomorpha	Colletidae	0	0	0	0	0	1	0	
Phenacolletes	Colletidae	0	0	0	0	1	0	0	
Protomorpha	Colletidae	0	0	0	0	1	0	0	
Ptiloglossa	Colletidae	0	1	0	1	0	1	0	
Ptiloglossidia	Colletidae	0	0	0	0	0	1	0	
Reedapis	Colletidae	0	0	0	0	0	1	0	
Scrapter	Colletidae	1	0	0	0	0	0	0	
Spinolapis	Colletidae	0	0	0	0	0	1	0	
Tetraglossula	Colletidae	0	0	0	0	0	1	0	
Trichocolletes	Colletidae	0	0	0	0	1	0	0	
Willinkapis	Colletidae	0	0	0	0	0	1	0	
Xanthesma	Colletidae	0	0	0	0	1	0	0	
Xanthocotelles	Colletidae	0	0	0	0	0	1	0	
Xenochilicola	Colletidae	0	0	0	0	0	1	0	
Xeromelissa	Colletidae	0	0	0	0	0	1	0	
Zikanapis	Colletidae	0	1	0	1	0	1	0	
Agapostemon	Halictidae	0	1	0	1	0	1	0	
