Weight	BL	WL	IT	HT	HW
0.005	11.179	10.617	2.793	2.818	2.818
0.0068	15.354	10.825	3.684	3.206	4.163
0.0196	17.173	13	5.266	4.437	5.375
0.009	13.055	9.503	4.763	2.942	4.622
0.01565	16.965	12.303	6.863	4.031	6.433
0.0064	15.79	11.269	4.754	3.486	4.154
0.0026	12.989	10.249	2.541	2.337	2.882
0.0149	16.417	12.202	5.51	3.934	5.286
0.0036	9.997	9.84	4.04	3.348	3.855
0.0036	12.437	11.684	3.21	2.548	3.545
0.0108	15.23	11.951	4.472	3.648	4.752
0.0034	12.201	8.328	3.019	2.64	3.307
0.0145	16.497	13.028	5.615	4.276	5.25
0.0031	11.365	12.145	3.498	3.021	4.095
0.0035	10.041	10.744	3.044	2.664	3.334
0.0044	15.2106	10.951	3.441	3.251	4.059
0.0256	19.365	14.821	6.766	4.815	6.119
