"","x"
"1","Euhesma_euhsp1"
"2","Callohesma_calsp1"
"3","Euryglossa_adelaidae"
"4","Austroplebeia_australis"
"5","Ceratina_cucurbitina"
"6","Heriades_crenulatus"
"7","Hoplitis_adunca"
"8","Pseudoanthidium_melanorum"
"9","Nomia_nomsp1"
"10","Sphecodes_sp"
"11","Systropha_planidens"
"12","Goniocolletes_perfasciatus"
"13","Hylaeus_amiculus"
"14","Hylaeus_communis"
"15","Hylaeus_elegans"
"16","Hylaeus_kelvini"
"17","Hylaeus_pectoralis"
"18","Hylaeus_primulipictus"
"19","Hylaeus_rotundiceps"
"20","Andrena_andbicolor"
"21","Andrena_ferrugineicrus"
"22","Andrena_flavipes"
"23","Andrena_florea"
"24","Andrena_hispania"
"25","Andrena_nigroaenaea"
"26","Andrena_ovatula"
"27","Andrena_rhyssonota"
"28","Andrena_subopaca"
"29","Andrena_thoracica"
"30","Panurgus_banksianus"
"31","Panurgus_calcaratus"
"32","Panurgus_cephalotes"
"33","Panurgus_dargius"
"34","Dasypoda_cingulata"
"35","Dasypoda_crassicornis"
"36","Amegilla_aeruginosa"
"37","Amegilla_amecing"
"38","Amegilla_asserta"
"39","Amegilla_bombiformis"
"40","Amegilla_chlorocyanea"
"41","Amegilla_pulchra"
"42","Amegilla_quadrifasciata"
"43","Anthophora_aestivalis"
"44","Anthophora_atroalba"
"45","Anthophora_dispar"
"46","Anthophora_hispanica"
"47","Nomada_agrestis"
"48","Nomada_fucata"
"49","Nomada_melathoracica"
"50","Nomada_merceti"
"51","Thyreus_nitidulus"
"52","Thyreus_waroonensis"
"53","Eucera_chrysopyga"
"54","Eucera_elongatula"
"55","Eucera_rufa"
"56","Apis_cerana"
"57","Apis_mellifera"
"58","Apis_melliferaA"
"59","Bombus_hortorum"
"60","Bombus_lapidarius"
"61","Bombus_lucorum"
"62","Bombus_pascuorum"
"63","Bombus_pratorum"
"64","Bombus_terrestris"
"65","Tetragonula_carbonaria"
"66","Tetragonula_mellipes"
"67","Xylocopa_bombylans"
"68","Xylocopa_cantabrita"
"69","Xylocopa_lieftincki"
"70","Xylocopa_sticticum"
"71","Xylocopa_valga"
"72","Exoneura_bicolor"
"73","Exoneura_hamulata"
"74","Braunsapis_brasp1"
"75","Braunsapis_brasp2"
"76","Braunsapis_brasp3"
"77","Megachile_apicata"
"78","Megachile_aurifrons"
"79","Megachile_callura"
"80","Megachile_captionis"
"81","Megachile_chrysopyea"
"82","Megachile_heriadiformis"
"83","Megachile_maculariformis"
"84","Megachile_macularisCOMPLEX"
"85","Megachile_megbid"
"86","Megachile_megsp1"
"87","Megachile_megsp2"
"88","Megachile_megsp3"
"89","Megachile_megsp4"
"90","Megachile_micrerythrura"
"91","Megachile_oblonga"
"92","Megachile_paracallida"
"93","Megachile_serricauda"
"94","Megachile_simplex"
"95","Megachile_tenuicincta"
"96","Megachile_turneri"
"97","Osmia_bicornis"
"98","Osmia_submicans"
"99","Lipotriches_australica"
"100","Lipotriches_ferricauda"
"101","Lipotriches_flavoviridis"
"102","Lipotriches_lipsp1"
"103","Lipotriches_lipsp10"
"104","Lipotriches_lipsp11"
"105","Lipotriches_lipsp12"
"106","Lipotriches_lipsp3"
"107","Lipotriches_lipsp4"
"108","Lipotriches_lipsp7"
"109","Lipotriches_lipsp8"
"110","Lipotriches_sp6"
"111","Halictus_rubicundus"
"112","Halictus_scabiosae"
"113","Homalictus_homsp1"
"114","Homalictus_sphecodoides"
"115","Homalictus_urbanus"
"116","Lasioglossum_albocinctum"
"117","Lasioglossum_bicingulatum"
"118","Lasioglossum_calceatum"
"119","Lasioglossum_clelandi"
"120","Lasioglossum_convexum"
"121","Lasioglossum_cypromicans"
"122","Lasioglossum_eremaean"
"123","Lasioglossum_globosum"
"124","Lasioglossum_hemichalceum"
"125","Lasioglossum_hiltacum"
"126","Lasioglossum_imminutus"
"127","Lasioglossum_lanarium"
"128","Lasioglossum_lassp1"
"129","Lasioglossum_lassp2"
"130","Lasioglossum_lassp3"
"131","Lasioglossum_lassp4"
"132","Lasioglossum_lassp5"
"133","Lasioglossum_lassp6"
"134","Lasioglossum_lassp7"
"135","Lasioglossum_lassp8"
"136","Lasioglossum_lassp9"
"137","Lasioglossum_leichardti"
"138","Lasioglossum_leucopus"
"139","Lasioglossum_leucozonium"
"140","Lasioglossum_orbatum"
"141","Lasioglossum_platychilum"
"142","Lasioglossum_pulvitectum"
"143","Lasioglossum_sulthicum"
"144","Lasioglossum_villosulum"
"145","Leioproctus_amabilis"
"146","Leioproctus_clarki"
"147","Leioproctus_flavomaculatus"
"148","Leioproctus_leisp1"
"149","Leioproctus_leisp3"
"150","Leioproctus_obscurus"
"151","Colletes_acutus"
"152","Colletes_nigricans"
